filename,x,y,w,h
AMD-001.jpg,1425,1401,276,221
AMD-002.jpg,2206,949,197,252
AMD-003.jpg,1582,1392,197,184
AMD-004.jpg,2353,1471,190,203
AMD-005.jpg,2012,2021,298,240
AMD-006.jpg,2541,1674,190,203
AMD-007.jpg,2448,1601,190,184
AMD-008.jpg,1846,1687,215,163
AMD-009.jpg,2544,1671,197,209
AMD-010.jpg,1456,1419,197,166
AMD-011.jpg,2276,1413,206,187
AMD-012.jpg,2369,1484,172,144
AMD-013.jpg,1518,1407,169,166
AMD-014.jpg,1521,1419,197,166
AMD-015.jpg,2193,1401,323,243
AMD-016.jpg,1576,1459,295,194
AMD-017.jpg,1511,1361,227,187
AMD-018.jpg,2663,1868,237,227
AMD-019.jpg,2276,1373,261,197
AMD-020.jpg,2276,1450,215,187
AMD-021.jpg,1496,1416,187,166
AMD-022.jpg,1471,1475,181,172
AMD-023.jpg,2304,1404,194,172
AMD-024.jpg,1760,1287,227,203
AMD-025.jpg,2353,1487,147,138
AMD-026.jpg,1567,1416,194,154
AMD-027.jpg,2341,1459,218,194
AMD-028.jpg,1551,1530,212,190
AMD-029.jpg,2246,1487,237,197
AMD-030.jpg,1551,1505,200,209
AMD-031.jpg,1475,1401,240,184
AMD-032.jpg,2298,1416,240,209
AMD-033.jpg,1511,1401,172,172
AMD-034.jpg,2295,1407,203,175
AMD-035.jpg,1490,1389,197,141
AMD-036.jpg,2289,1398,187,172
AMD-037.jpg,1528,985,123,119
AMD-038.jpg,1625,1475,200,169
AMD-039.jpg,2319,1385,175,147
AMD-040.jpg,1502,1425,154,157
AMD-041.jpg,2329,1468,212,178
AMD-042.jpg,1650,1462,178,169
AMD-043.jpg,2350,1392,178,178
AMD-044.jpg,1471,1419,184,178
AMD-045.jpg,2289,1361,178,184
AMD-046.jpg,1545,1336,270,194
AMD-047.jpg,2153,1447,292,184
AMD-048.jpg,1278,1352,313,286
AMD-049.jpg,2282,1352,218,154
AMD-050.jpg,1416,1407,212,209
AMD-051.jpg,2341,1450,200,190
AMD-052.jpg,2313,1428,227,169
AMD-053.jpg,1594,1398,172,190
AMD-054.jpg,1779,1797,190,212
AMD-055.jpg,2599,1450,255,197
AMD-056.jpg,1567,1349,194,212
AMD-057.jpg,2501,1825,184,200
AMD-058.jpg,2196,1628,187,224
AMD-059.jpg,1481,1373,172,194
AMD-060.jpg,2375,1413,169,175
AMD-061.jpg,1859,1613,157,215
AMD-062.jpg,2602,1379,160,169
AMD-063.jpg,1674,1478,197,151
AMD-064.jpg,1456,1441,187,135
AMD-065.jpg,2261,1441,184,169
AMD-066.jpg,1530,1419,200,197
AMD-067.jpg,1551,1425,166,141
AMD-068.jpg,2307,1392,172,212
AMD-069.jpg,2335,1432,135,144
AMD-070.jpg,1548,1385,151,157
AMD-071.jpg,2375,1462,169,160
AMD-072.jpg,1745,1748,184,197
AMD-073.jpg,1484,1456,172,203
AMD-074.jpg,1459,1364,175,190
AMD-075.jpg,1505,1398,181,184
AMD-076.jpg,2322,1459,163,194
AMD-077.jpg,2261,1462,181,190
AMD-078.jpg,1561,1471,144,132
AMD-079.jpg,1542,1401,187,172
AMD-080.jpg,2267,1502,181,169
AMD-081.jpg,1481,1401,178,169
AMD-082.jpg,1561,1376,175,126
AMD-083.jpg,2402,1407,172,132
AMD-084.jpg,993,979,129,94
AMD-085.jpg,1550,985,104,96
AMD-086.jpg,1521,1530,154,157
AMD-087.jpg,2476,1558,172,163
AMD-088.jpg,1545,1435,187,151
AMD-089.jpg,2267,1478,154,163
AMD-090.jpg,1447,1487,172,160
AMD-091.jpg,2123,1514,151,166
AMD-092.jpg,1582,1456,132,138
AMD-093.jpg,2319,1416,147,172
AMD-094.jpg,1183,1499,172,187
AMD-095.jpg,2335,1398,190,172
AMD-096.jpg,2356,1385,151,160
AMD-097.jpg,1542,1428,160,160
AMD-098.jpg,1567,1447,163,178
AMD-099.jpg,1484,1413,160,160
AMD-100.jpg,2405,1450,163,203
