filename,x,y,w,h
DR-001.jpg,1576,1462,178,138
DR-002.jpg,2322,1392,172,163
DR-003.jpg,1561,1456,249,197
DR-004.jpg,2326,1419,160,169
DR-005.jpg,1558,1392,166,203
DR-006.jpg,2387,1478,120,166
DR-007.jpg,1542,1413,160,190
DR-008.jpg,2338,1413,169,184
DR-009.jpg,1278,1548,194,209
DR-010.jpg,2018,1490,169,175
DR-011.jpg,1551,1370,163,157
DR-012.jpg,2344,1502,184,157
DR-013.jpg,1527,1376,178,169
DR-014.jpg,2335,1450,181,160
DR-015.jpg,1514,1450,154,172
DR-016.jpg,2369,1542,163,129
DR-017.jpg,1567,1413,147,141
DR-018.jpg,2338,1379,178,154
DR-019.jpg,1450,1471,184,184
DR-020.jpg,2261,1459,181,172
DR-021.jpg,2313,1379,187,178
DR-022.jpg,1511,1392,147,194
DR-023.jpg,1521,1484,230,172
DR-024.jpg,2233,1478,215,169
DR-025.jpg,1594,1419,221,181
DR-026.jpg,2353,1373,184,197
DR-027.jpg,1527,1425,203,151
DR-028.jpg,2424,1364,154,135
DR-029.jpg,2295,1478,200,160
DR-030.jpg,1564,1487,154,166
DR-031.jpg,2338,1428,160,172
DR-032.jpg,2307,1425,224,212
DR-033.jpg,1511,1425,154,187
DR-034.jpg,1527,1444,144,157
DR-035.jpg,2326,1398,160,163
DR-036.jpg,2319,1428,178,147
DR-037.jpg,1521,1407,197,197
DR-038.jpg,2304,1407,203,169
DR-039.jpg,1766,1613,187,200
DR-040.jpg,2329,1385,178,215
DR-041.jpg,1521,1594,166,163
DR-042.jpg,2353,1376,184,157
DR-043.jpg,1456,1392,178,184
DR-044.jpg,2341,1432,160,154
DR-045.jpg,1545,1349,218,157
DR-046.jpg,2344,1428,181,187
DR-047.jpg,1527,1487,197,157
DR-048.jpg,2252,1514,154,206
DR-049.jpg,2329,1407,194,141
DR-050.jpg,1567,1373,172,169
DR-051.jpg,2304,1428,181,172
DR-052.jpg,1548,1428,184,166
DR-053.jpg,2470,1736,184,187
DR-054.jpg,1490,1373,184,166
DR-055.jpg,2319,1385,166,172
DR-056.jpg,1468,1456,200,169
DR-057.jpg,2341,1407,215,187
DR-058.jpg,1573,950,131,125
DR-059.jpg,1514,1441,190,175
DR-060.jpg,2282,1385,181,184
DR-061.jpg,1465,1416,190,154
DR-062.jpg,2326,1450,172,175
DR-063.jpg,1425,1432,233,166
DR-064.jpg,2341,1456,212,157
DR-065.jpg,2341,1413,227,184
DR-066.jpg,1518,1468,215,163
DR-067.jpg,2307,1428,184,175
DR-068.jpg,1511,1456,190,147
DR-069.jpg,1564,1404,166,151
DR-070.jpg,2135,1834,184,172
DR-071.jpg,1536,2052,172,175
DR-072.jpg,2341,1435,172,197
DR-073.jpg,1567,1462,154,166
DR-074.jpg,1591,1475,172,172
DR-075.jpg,2338,1398,157,197
DR-076.jpg,2412,1533,132,151
DR-077.jpg,1545,1496,169,172
DR-078.jpg,1502,1447,187,190
DR-079.jpg,2338,1379,178,206
DR-080.jpg,1456,1432,227,184
DR-081.jpg,2350,1478,181,175
DR-082.jpg,1588,1428,147,154
DR-083.jpg,2335,1416,206,160
DR-084.jpg,1468,1407,181,190
DR-085.jpg,2353,1432,163,169
DR-086.jpg,1561,1401,172,160
DR-087.jpg,2086,1527,178,200
DR-088.jpg,1653,1714,163,135
DR-089.jpg,1505,1425,178,190
DR-090.jpg,1527,1392,169,169
DR-091.jpg,2335,1425,181,203
DR-092.jpg,2369,1468,184,169
DR-093.jpg,1395,1456,212,172
DR-094.jpg,1475,1640,181,181
DR-095.jpg,2230,1631,172,197
DR-096.jpg,3020,1401,166,184
DR-097.jpg,1530,1361,190,187
DR-098.jpg,1450,1376,194,190
DR-099.jpg,2264,1373,178,172
DR-100.jpg,2310,1419,172,197
