filename,x,y,w,h
Uveitis-001.jpg,1502,1622,154,147
Uveitis-002.jpg,1379,1601,184,172
Uveitis-003.jpg,2359,1659,151,151
Uveitis-004.jpg,1407,1601,197,154
Uveitis-005.jpg,1425,1542,218,160
Uveitis-006.jpg,1527,1576,172,172
Uveitis-007.jpg,1447,1597,163,129
Uveitis-008.jpg,2212,1505,209,169
Uveitis-009.jpg,1487,1588,163,175
Uveitis-010.jpg,1447,1640,157,141
Uveitis-011.jpg,1342,1637,172,157
Uveitis-012.jpg,1422,1561,197,163
Uveitis-013.jpg,2402,1656,181,154
Uveitis-014.jpg,1468,1573,144,151
Uveitis-015.jpg,2295,1637,197,160
Uveitis-016.jpg,1545,1726,190,144
Uveitis-017.jpg,1518,1570,166,154
Uveitis-018.jpg,1419,1542,215,169
Uveitis-019.jpg,2150,1631,157,147
Uveitis-020.jpg,2298,1665,147,141
Uveitis-021.jpg,2322,1616,160,163
Uveitis-022.jpg,2261,1644,230,184
Uveitis-023.jpg,1465,1594,178,163
Uveitis-024.jpg,2298,1730,194,178
Uveitis-025.jpg,1447,1561,206,178
Uveitis-026.jpg,2292,1637,200,172
Uveitis-027.jpg,2273,1637,197,169
Uveitis-028.jpg,2221,1647,212,163
Uveitis-029.jpg,2789,1693,203,184
Uveitis-030.jpg,1502,1637,138,126
Uveitis-031.jpg,1342,1511,190,184
Uveitis-032.jpg,1309,1527,175,172
Uveitis-033.jpg,1487,1708,157,175
Uveitis-034.jpg,1385,1616,172,151
Uveitis-035.jpg,1419,1659,184,154
Uveitis-036.jpg,2227,1628,206,172
Uveitis-037.jpg,1511,1665,203,157
Uveitis-038.jpg,1435,1674,138,135
Uveitis-039.jpg,2126,1699,184,138
Uveitis-040.jpg,2246,1680,197,160
Uveitis-041.jpg,1358,1779,172,160
Uveitis-042.jpg,786,1601,215,181
Uveitis-043.jpg,1422,1533,184,181
Uveitis-044.jpg,1465,1604,184,194
Uveitis-045.jpg,1499,1505,160,117
Uveitis-046.jpg,1425,1576,169,166
Uveitis-047.jpg,2319,1545,181,163
Uveitis-048.jpg,2273,1631,209,147
Uveitis-049.jpg,1487,1554,187,138
Uveitis-050.jpg,1450,1613,194,157
Uveitis-051.jpg,2249,1597,178,172
Uveitis-052.jpg,2381,1647,166,166
Uveitis-053.jpg,1435,1567,157,157
Uveitis-054.jpg,1330,1665,200,181
Uveitis-055.jpg,2233,1628,187,135
Uveitis-056.jpg,2282,1726,215,184
Uveitis-057.jpg,2295,1631,197,190
Uveitis-058.jpg,2218,1613,212,178
Uveitis-059.jpg,1358,1014,172,154
Uveitis-060.jpg,2243,1533,221,209
Uveitis-061.jpg,1511,1561,178,194
Uveitis-062.jpg,2249,1708,187,157
Uveitis-063.jpg,2298,1613,151,160
Uveitis-064.jpg,2150,1693,184,147
Uveitis-065.jpg,1425,1545,187,178
Uveitis-066.jpg,1453,1656,172,166
Uveitis-067.jpg,2310,1573,175,197
Uveitis-068.jpg,1484,1511,172,190
Uveitis-069.jpg,2218,1665,209,147
Uveitis-070.jpg,2304,1582,175,200
Uveitis-071.jpg,2230,1616,197,190
Uveitis-072.jpg,1471,1570,154,172
Uveitis-073.jpg,1404,1576,194,175
Uveitis-074.jpg,2236,1573,154,157
Uveitis-075.jpg,1459,1539,175,141
Uveitis-076.jpg,2276,1640,166,157
Uveitis-077.jpg,2282,1699,178,166
Uveitis-078.jpg,1536,1640,154,129
Uveitis-079.jpg,1238,1084,187,141
Uveitis-080.jpg,1518,1133,137,131
Uveitis-081.jpg,1416,1585,197,154
Uveitis-082.jpg,2233,1665,194,163
Uveitis-083.jpg,1389,1604,187,203
Uveitis-084.jpg,1425,1613,224,184
Uveitis-085.jpg,2289,1659,144,154
Uveitis-086.jpg,2200,1613,172,172
Uveitis-087.jpg,2230,1585,166,187
Uveitis-088.jpg,1438,1653,190,154
Uveitis-089.jpg,1425,1628,157,169
Uveitis-090.jpg,1315,1573,154,166
Uveitis-091.jpg,2295,1604,151,166
Uveitis-092.jpg,1468,1542,184,172
Uveitis-093.jpg,2135,1613,172,138
Uveitis-094.jpg,2206,1625,200,169
Uveitis-095.jpg,1447,1628,178,169
Uveitis-096.jpg,1407,1561,203,126
Uveitis-097.jpg,2276,1711,187,187
Uveitis-098.jpg,1385,1656,203,194
Uveitis-099.jpg,1395,1594,194,175
Uveitis-100.jpg,2295,1699,154,166
